MSE-DEM,MSE-DPG,MAPE-DEM,MAPE-DPG
17.890928361512007,2.0924094822561723,2.890627921483076,2.288909227842246
17.739239113241307,2.131395584488384,3.1245073688461993,2.3655226472281274
19.94027601,2.121421711233512,3.5335382888232223,2.3748659222054576
17.74131686308742,2.0590197949731586,3.1785763824684454,1.8132372264878165
17.865398156448205,2.041048156463553,3.3211956908703026,2.955930777570448
18.271548676208468,2.1368226773578702,3.654722078,2.750765258305192
17.41419011202036,2.0694357264725585,3.5143848366112334,2.788657130326216
17.492003460303778,2.0676730812735498,3.090124867066488,1.705974657644882
18.29686587556214,2.0671430621082942,3.470168780480276,2.100935624128436
18.068546297059193,2.1335971486834233,5.086537210460369,3.1214208187208596
19.54504242323627,2.0655931683411852,3.1979292109041504,2.541726684020021
19.29042212104995,2.1127512734938807,2.732738311566007,1.4660846044854892
19.607263060172688,2.094494337,3.728425575360523,2.369760510015442
18.183695854514326,2.084898089,4.031092704,3.901168501761819
18.39012963374021,2.0577474407305956,3.781200137,1.8110866965473174
17.60138238076784,2.0782446706500437,3.221522957046819,1.8391857899919228
18.051856689759667,2.0647030041249788,4.205359043845753,3.0180182961205966
17.35409874358192,2.0710097611333493,3.513481693802503,2.7779114102903395
17.314841963960003,2.117301776595988,2.9781793496173177,1.8427448955500292
18.07100828382532,2.0647542822569904,4.943985417776163,3.0431003905739793
18.675086617067947,2.125562121029654,3.326316763439675,3.095402751536958
17.023963645602578,2.0927028377333423,2.974278125939398,1.5915166862465968
20.04396597,2.063309814,4.691063633348695,2.8110649629582314
17.631382760626007,2.1358292679519537,2.616058862064301,1.5164650460291436
17.975344960696493,2.0349868053575744,2.8215754479001443,1.6631628994442473
17.35224775676927,2.1435039344951288,3.8564037421823345,1.9990519102521727
17.855939008644352,2.080528965926725,3.2455761103390874,1.6615493543989994
18.48387573038172,2.0776695250514785,2.9693341922951006,1.981095159121661
17.60846187,2.1102766186546247,3.127909866721322,2.1611072751950724
18.05459476376592,2.1112454040371413,3.311186748386988,1.8710385531458782
16.45492291215352,2.1037819801941273,3.3120069844138347,2.071351679
17.29408830613212,2.0881942100463395,3.9889644639180517,2.2733797966321907
18.462850553509178,2.0998048553674113,3.519255954917367,3.340728944122348
17.546713350919692,2.0637740427383116,3.904383373046332,2.195640313408899
17.92402645345711,2.102085403511115,4.359983049995649,2.472591733464757
18.227496619725184,2.161272810738133,3.6195573521329103,1.8709986842991804
18.347223503947767,2.1189331783841783,4.454765525954258,2.6901133489303444
18.540519649334676,2.1023103084219876,3.6138266840441493,2.5370721407421395
21.20455801928277,2.099783396599055,2.9787130204841397,1.6857397379229693
17.438662527720368,2.0539397941029893,3.170497400812287,1.958805343083446
18.73765013,2.1064521114067567,3.129522135286338,2.0821894421829574
17.879614749576007,2.183238596743299,3.2761886503617332,1.8962540377674264
18.07706836203417,2.076480972315245,3.1213058236224676,1.7396126739391589
17.741858891410388,2.103228026664354,3.4097136348780466,2.883664007550259
18.475491103172555,2.0544047703870136,3.177592938975809,2.029374067120191
19.483451512325843,2.056008973097913,3.746974336397497,2.4583495229952246
18.22496126845308,2.079698972791577,3.1961773960423816,1.5650670687710482
19.053153130020654,2.079921860074243,3.693141451606552,2.343492177422801
17.030187302648258,2.0601653535039994,3.685039866,2.2855508573466397
19.111125698710886,2.061600976598223,2.983180449514761,2.9756424011154365
